# help-builtins - the builtin one-liners: name<TAB>call<TAB>meaning, ONE ROW PER MEANING.
# Order is display order; the FIRST row of a name is what the REPL hint (.help.oneline) shows.
# call: one idiomatic invocation, <=36 chars, copy-paste executable where it can be.
# meaning: lowercase verb phrase, no trailing period, a whole thought on its own.
# The RESULT column is NOT here - tools/gen-help-builtins.py witnesses it by running the call.
# Longer explanations are the website's job (\??topic). Edit this file, rerun the generator, commit both.
abs	abs -5 3 -2	take the magnitude, dropping the sign
aj	aj[`sym`time;trade;quote]	as-of join: take the last y row at or before each x time
aj0	aj0[`sym`time;trade;quote]	as-of join that keeps the matched row's own time
ajf	ajf[`sym`time;trade;quote]	as-of join that fills nulls from the left table
ajf0	ajf0[`sym`time;trade;quote]	as-of join filling nulls, keeping the matched time
all	all 1 2 3=1 2 4	test whether every item is true
any	any 1 2 3=1 20 30	test whether at least one item is true
and	1010b and 1100b	take the lesser of two values - logical AND on booleans
asc	asc 2 1 3 2	sort a list, dictionary or table ascending
iasc	iasc 2 1 3	grade up: the indices that would sort a list ascending
xasc	`price xasc trade	sort a table ascending by the named columns
asof	trade asof `AAPL	take the last row of a table at or before a key value
attr	attr `s#1 3 4	report an object's attribute: s, u, p or g
avg	avg 1 2 3 4	take the average: the arithmetic mean, as a float
avgs	avgs 1 2 3 4	take the running average at every position
mavg	3 mavg 1 2 3 4 5	take the moving average over a sliding window of x items
wavg	1 2 3 wavg 10 20 30	take the mean of y weighted by x
bin	bin[1 3 5;4]	binary-search for the index of the last item up to y
binr	binr[1 3 5;4]	binary-search for the index of the first item from y
ceiling	ceiling 2.1 -2.1	round up to the next whole number
count	count ([]a:1 2;b:3 4)	count the items of a list, dictionary or table
mcount	3 mcount 1 2 3 4	count the non-null items in a moving window of x items
cols	cols ([]a:1 2;b:3 4)	list a table's column names
xcol	`x`y xcol ([]a:1 2;b:3 4)	rename a table's leading columns
xcols	`b`a xcols ([]a:1 2;b:3 4)	reorder a table's columns, the named ones first
cor	cor[1 2 3;2 4 7]	measure the correlation of two lists, from -1 to 1
cos	cos 0 1	take the cosine of an angle in radians
acos	acos 1	take the arccosine, in radians
cov	cov[1 2 3;2 4 7]	measure the covariance of two lists
scov	scov[1 2 3;2 4 7]	measure the sample covariance of two lists
cross	1 2 cross `a`b	pair every item of x with every item of y
csv	csv vs "a,b,c"	name the comma delimiter, for csv text
cut	2 cut til 6	cut a list into pieces of x items each
cut	1 3 cut til 6	cut a list at each of the indices in x
delete	delete b from ([]a:1 2;b:3 4)	drop rows or columns from a table
deltas	deltas 1 4 9	take the difference between adjacent items
desc	desc 2 1 3	sort descending
idesc	idesc 2 1 3	grade down: the indices that would sort a list descending
xdesc	`price xdesc trade	sort a table descending by the named columns
dev	dev 1 2 3 4	measure the standard deviation of a list
mdev	3 mdev 1 2 3 4	measure the standard deviation over a moving window
sdev	sdev 1 2 3 4	measure the sample standard deviation
differ	differ 1 1 2 2 3	flag each item that differs from the one before it
distinct	distinct 1 2 1 3	keep the unique items, in first-seen order
div	7 div 2	divide and round the quotient down to a whole number
dsave	`:db dsave `trade	write global tables to disk splayed and enumerated
each	count each ("ab";"cde")	apply a function to every item separately
peach	count peach ("ab";"cde")	apply a function to every item on secondary threads
ej	ej[`a;([]a:1 2);([]a:1 2;b:`x`y)]	equi join: match two tables on equal values of the named columns
ema	0.5 ema 1 2 3	take the exponentially weighted moving average
enlist	enlist 1 2 3	wrap the arguments as a single list
eval	eval parse "2+3"	evaluate a parse tree
reval	reval parse "2+3"	evaluate a parse tree under the remote-client restrictions
except	1 2 3 4 except 2 4	drop from x every item that appears in y
exec	exec a from ([]a:1 2)	read columns out of a table as values, not as a table
exit	exit 0	end the process with an exit code
exp	exp 1	take the exponential: raise e to a power
xexp	2 xexp 10	raise x to the power y
fby	select from t where a=(max;a) fby b	compare each row against an aggregate of its group
fills	fills 1 0N 3 0N	replace each null with the last non-null before it
first	first 1 2 3	take the first item
last	last 1 2 3	take the last item
fkeys	fkeys t	map a table's foreign-key columns to the tables they cite
flip	flip (1 2;3 4)	transpose a matrix, dictionary or table
floor	floor 2.7 -2.7	round down to the next whole number
get	a:42;get `a	read the value bound to a name
get	get `:trade	read or memory-map a kdb+ data file
set	`a set 42	bind a value to a global name
set	`:t.dat set til 3	write a value to a file
getenv	getenv `HOME	read an environment variable
setenv	`FOO setenv "bar"	set an environment variable for this process
group	group "mississippi"	map each distinct item to the indices where it occurs
gtime	gtime 2000.01.01D12:00:00	convert a local timestamp to UTC
ltime	ltime 2000.01.01D12:00:00	convert a UTC timestamp to local time
hcount	hcount `:trade.csv	report a file's size in bytes
hdel	hdel `:trade.csv	delete a file, or an empty directory
hopen	hopen `::5000	open a connection to a process, file or fifo
hclose	hclose h	close a connection handle
hsym	hsym `trade.csv	turn a symbol into a file or process handle symbol
ij	ij[([]a:1 2);([a:1 2]b:`x`y)]	inner join: keep x's rows whose key matches y, adding y's columns
ijf	ijf[([]a:1 2);([a:1 2]b:`x`y)]	inner join that keeps x's values where y is null
in	2 in 1 2 3	test whether each item of x appears in y
insert	t:([]a:1 2;b:`x`y);`t insert(3;`z)	append records to a table named by symbol
inter	1 2 3 inter 2 3 4	keep the items that appear in both lists
inv	inv 2 2#1 0 0 1f	invert a non-singular float matrix
key	key `a`b!1 2	list a dictionary's keys
key	key ([a:1 2]b:3 4)	take a keyed table's key table
key	key 4	list the first x integers, as til does
key	key `:.	list the files in a directory
