file,line,col,severity,rule,message
j.q,17,4,WARNING,CONDITIONALLY_DECLARED,"Variable 'n' may be undefined — declared only conditionally"
csv.q,0,0,ERROR,RESERVED_NAME,"File has reserved name 'csv'"
parquet.q,22,120,WARNING,LINE_TOO_LONG,"Line 22 exceeds 120 characters"
parquet.q,25,96,WARNING,LINE_TOO_LONG,"Line 25 exceeds 120 characters"
parquet.q,30,29,WARNING,LINE_TOO_LONG,"Line 30 exceeds 120 characters"
parquet.q,31,17,WARNING,LINE_TOO_LONG,"Line 31 exceeds 120 characters"
parquet.q,64,42,WARNING,LINE_TOO_LONG,"Line 64 exceeds 120 characters"
parquet.q,68,118,WARNING,LINE_TOO_LONG,"Line 68 exceeds 120 characters"
parquet.q,89,111,WARNING,LINE_TOO_LONG,"Line 89 exceeds 120 characters"
parquet.q,34,4,WARNING,CONDITIONALLY_DECLARED,"Variable 'v' may be undefined — declared only conditionally"
parquet.q,35,4,WARNING,CONDITIONALLY_DECLARED,"Variable 's' may be undefined — declared only conditionally"
parquet.q,55,4,WARNING,CONDITIONALLY_DECLARED,"Variable 'ct' may be undefined — declared only conditionally"
parquet.q,82,4,WARNING,CONDITIONALLY_DECLARED,"Variable 'kv' may be undefined — declared only conditionally"
massive.q,162,118,WARNING,LINE_TOO_LONG,"Line 162 exceeds 120 characters"
massive.q,172,120,WARNING,LINE_TOO_LONG,"Line 172 exceeds 120 characters"
massive.q,177,107,WARNING,LINE_TOO_LONG,"Line 177 exceeds 120 characters"
massive.q,180,116,WARNING,LINE_TOO_LONG,"Line 180 exceeds 120 characters"
massive.q,183,118,WARNING,LINE_TOO_LONG,"Line 183 exceeds 120 characters"
massive.q,23,49,WARNING,TRAILING_SEMICOLON,"Trailing semicolon before } — function returns generic null"
massive.q,136,117,WARNING,TRAILING_SEMICOLON,"Trailing semicolon before } — function returns generic null"
massive.q,82,14,WARNING,CAST_TYPE_NUMERICAL,"Casting using short type 'j'"
massive.q,84,23,WARNING,CAST_TYPE_NUMERICAL,"Casting using short type 'j'"
massive.q,84,30,WARNING,CAST_TYPE_NUMERICAL,"Casting using short type 'p'"
massive.q,136,12,WARNING,DEBUG_FUNCTION,"Call to debug function '-2'"
str.q,75,50,INFO,IMPLICIT_PARAMS,"Function uses implicit parameters — consider naming them"
help-db.q,11,14,WARNING,LINE_TOO_LONG,"Line 11 exceeds 120 characters"
help-db.q,12,15,WARNING,LINE_TOO_LONG,"Line 12 exceeds 120 characters"
help-db.q,13,15,WARNING,LINE_TOO_LONG,"Line 13 exceeds 120 characters"
help-db.q,14,16,WARNING,LINE_TOO_LONG,"Line 14 exceeds 120 characters"
help-db.q,17,15,WARNING,LINE_TOO_LONG,"Line 17 exceeds 120 characters"
help-db.q,18,15,WARNING,LINE_TOO_LONG,"Line 18 exceeds 120 characters"
help-db.q,19,16,WARNING,LINE_TOO_LONG,"Line 19 exceeds 120 characters"
help-db.q,20,16,WARNING,LINE_TOO_LONG,"Line 20 exceeds 120 characters"
help-db.q,21,16,WARNING,LINE_TOO_LONG,"Line 21 exceeds 120 characters"
help-db.q,22,16,WARNING,LINE_TOO_LONG,"Line 22 exceeds 120 characters"
help-db.q,23,15,WARNING,LINE_TOO_LONG,"Line 23 exceeds 120 characters"
help-db.q,24,16,WARNING,LINE_TOO_LONG,"Line 24 exceeds 120 characters"
help-db.q,25,16,WARNING,LINE_TOO_LONG,"Line 25 exceeds 120 characters"
help-db.q,27,15,WARNING,LINE_TOO_LONG,"Line 27 exceeds 120 characters"
help-db.q,28,16,WARNING,LINE_TOO_LONG,"Line 28 exceeds 120 characters"
help-db.q,30,17,WARNING,LINE_TOO_LONG,"Line 30 exceeds 120 characters"
