file,totalLines,codeLines,commentLines,commentRatio,functionCount,maxFunctionLines,avgFunctionLines,maxParams,maxCyclomaticComplexity
j.q,56,12,43,77,3,9,4.3,4,7
csv.q,45,2,42,93,2,1,1.0,4,1
parquet.q,105,57,47,45,20,8,2.7,5,5
massive.q,191,107,83,43,37,9,2.0,4,5
ffi.q,39,8,30,77,8,1,1.0,3,2
str.q,87,52,34,39,20,3,1.9,3,2
regexp.q,43,11,31,72,11,1,1.0,3,1
help-db.q,627,605,21,3,0,0,0.0,0,0
pq.q,44,16,27,61,19,5,1.6,3,5
termbox.q,163,55,108,66,22,1,1.0,5,1
qpc.q,32,10,21,66,10,4,1.6,4,2
duckdb.q,169,68,100,59,37,9,1.9,3,6
