file,totalLines,codeLines,commentLines,commentRatio,functionCount,maxFunctionLines,avgFunctionLines,maxParams,maxCyclomaticComplexity
j.q,95,12,82,86,3,9,4.3,4,7
termbox.q,171,55,116,68,22,1,1.0,5,1
pq.q,45,16,28,62,19,5,1.6,3,5
parquet.q,100,57,42,42,20,8,2.7,5,5
qpc.q,33,10,22,67,10,4,1.6,4,2
csv.q,78,2,75,96,2,1,1.0,4,1
ffi.q,42,8,33,79,8,1,1.0,3,2
regexp.q,44,11,32,73,11,1,1.0,3,1
massive.q,151,107,43,28,37,9,2.0,4,5
str.q,108,52,55,51,20,3,1.9,3,2
duckdb.q,172,68,104,60,37,9,1.9,3,6
help-db.q,626,605,20,3,0,0,0.0,0,0
